iter	RMSE
0	1.7613043
1	1.758092692
2	1.754833697
3	1.751933023
4	1.748752284
5	1.745551965
6	1.742363394
7	1.739522172
8	1.736471362
9	1.73324836
10	1.730401951
11	1.727571603
12	1.725133699
13	1.722242481
14	1.719455577
15	1.716587497
16	1.714077545
17	1.711623127
18	1.708915931
19	1.706249459
20	1.703731424
21	1.701433287
22	1.698635931
23	1.696179652
24	1.694032497
25	1.691604966
26	1.68950157
27	1.687012383
28	1.684633981
29	1.682457395
30	1.680380952
31	1.678057153
32	1.676043308
33	1.673883918
34	1.671943918
35	1.670067358
36	1.668062004
37	1.665891212
38	1.663643391
39	1.661670399
40	1.659573947
41	1.657365731
42	1.655348967
43	1.653586282
44	1.651628935
45	1.649927474
46	1.648114826
47	1.64634009
48	1.644580111
49	1.642870015
50	1.64117696
51	1.639659667
52	1.637876075
53	1.636202175
54	1.634485063
55	1.632935756
56	1.630918997
57	1.629225565
58	1.627667294
59	1.626217549
60	1.624729148
61	1.623065425
62	1.621476721
63	1.619768222
64	1.617902364
65	1.616731813
66	1.615245882
67	1.613725029
68	1.612097924
69	1.61072666
70	1.609376598
71	1.607985215
72	1.606552165
73	1.605142025
74	1.603872148
75	1.602598213
76	1.600984119
77	1.59968722
78	1.598362038
79	1.596954224
80	1.595683542
81	1.594431472
82	1.593359474
83	1.592325065
84	1.591084326
85	1.589939826
86	1.588743065
87	1.587563893
88	1.586257875
89	1.585055916
90	1.583802142
91	1.582677252
92	1.581669636
93	1.58043027
94	1.579270374
95	1.578279267
96	1.577015217
97	1.575793418
98	1.574978326
99	1.574080444
100	1.572812305
101	1.571932773
102	1.570888203
103	1.569834868
104	1.568746314
105	1.567666796
106	1.566342718
107	1.565403885
108	1.564370569
109	1.563370743
110	1.56222014
111	1.561386689
112	1.56024484
113	1.55930611
114	1.55844625
115	1.557546853
116	1.556574804
117	1.555866805
118	1.554755898
119	1.553804259
120	1.552795388
121	1.552039254
122	1.551265842
123	1.550555488
124	1.549683425
125	1.54870244
126	1.547970531
127	1.547064295
128	1.546211629
129	1.545143565
130	1.544159354
131	1.543294181
132	1.542258904
133	1.541352255
134	1.540478942
135	1.539755402
136	1.538872869
137	1.537956281
138	1.537192883
139	1.536359187
140	1.535634699
141	1.534787006
142	1.534154907
