iter	Passed	Remaining
0	94	94168
1	124	62154
2	157	52241
3	171	42613
4	180	35934
5	190	31549
6	198	28101
7	203	25275
8	216	23878
9	222	22073
10	230	20687
11	238	19652
12	249	18944
13	256	18042
14	262	17210
15	269	16571
16	279	16177
17	287	15690
18	329	17021
19	352	17291
20	381	17774
21	393	17487
22	404	17189
23	413	16804
24	421	16424
25	447	16763
26	458	16537
27	466	16191
28	476	15969
29	484	15649
30	489	15310
31	496	15028
32	511	14976
33	531	15113
34	545	15039
35	557	14922
36	567	14771
37	583	14768
38	593	14615
39	610	14653
40	618	14462
41	629	14368
42	639	14241
43	648	14094
44	655	13901
45	668	13857
46	677	13728
47	684	13581
48	691	13420
49	701	13334
50	710	13218
51	717	13081
52	735	13145
53	752	13181
54	760	13066
55	772	13014
56	782	12947
57	791	12853
58	805	12847
59	812	12726
60	817	12585
61	824	12470
62	835	12433
63	842	12322
64	848	12206
65	857	12141
66	868	12100
67	876	12012
68	886	11957
69	902	11984
70	913	11957
71	923	11904
72	933	11858
73	943	11802
74	964	11889
75	984	11971
76	1009	12099
77	1018	12043
78	1028	11989
79	1035	11907
80	1042	11832
81	1050	11760
82	1060	11715
83	1070	11675
84	1076	11587
85	1087	11562
86	1096	11502
87	1103	11439
88	1111	11377
89	1118	11308
90	1126	11255
91	1136	11220
92	1147	11195
93	1158	11163
94	1166	11117
95	1174	11058
96	1183	11015
97	1192	10980
98	1199	10912
99	1207	10867
100	1216	10827
101	1224	10778
102	1231	10726
103	1238	10667
104	1246	10624
105	1258	10611
106	1275	10648
107	1296	10707
108	1310	10712
109	1321	10692
110	1349	10807
111	1361	10794
112	1369	10749
113	1381	10738
114	1388	10686
115	1394	10627
116	1400	10572
117	1413	10567
118	1422	10532
119	1429	10480
120	1435	10428
121	1449	10431
122	1455	10377
123	1461	10328
124	1475	10330
125	1482	10281
126	1488	10228
127	1493	10177
128	1500	10131
129	1509	10099
130	1518	10073
131	1524	10026
132	1536	10013
133	1546	9997
134	1557	9978
135	1563	9935
136	1574	9918
137	1580	9872
138	1587	9833
139	1597	9815
140	1606	9788
141	1614	9756
142	1623	9726
143	1633	9708
